,GRAD,INICIAIS,POSTO,HORÁRIO,LOTAÇÃO,SECRETÁRIA,HORAS_TRABALHADAS
391,GCM,IBDSJ,CÃ‚MARA,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,LEGISLATIVO,12x36
392,SI,ERS,CÃ‚MARA,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,LEGISLATIVO,12x36
393,GCM,ACDV,CÃ‚MARA,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,LEGISLATIVO,12x36
394,GCM,ASVD,CÃ‚MARA,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,LEGISLATIVO,12x36
395,SI,JUIDS,QUADRA POLIESPORTIIVA GERALDINHO,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,12x36
396,SI,OBDSF,QUADRA POLIESPORTIIVA GERALDINHO,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,12x36
397,SI,CABC,QUADRA POLIESPORTIIVA GERALDINHO,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,12x36
398,GCM,TMDS,QUADRA POLIESPORTIIVA GERALDINHO,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,EDUCAÃ‡ÃƒO,12x36
399,GCM,CBDS,CEDIDO AO COMPAZ DOM HELDER,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
400,SI,EFDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
401,GCM,ABDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
402,GCM,MBPMDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
403,GCM,SRDR,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
404,SI,RJDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
405,GCM,PMDM,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
406,GCM,JAFDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
407,GCM,BBDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
408,GCM,MGFDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
409,GCM,CEDL,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
410,GCM,JCDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
411,GCM,ASDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
412,SI,SFB,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
413,GCM,JMDL,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
414,GCM,CHDSRDS,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
415,GCM,ERA,COMPAZ DOM HELDER,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
416,SI,IADS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
417,GCM,JLDSS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
418,GCM,RVNDC,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
419,GCM,AFM,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
420,GCM,CBDS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
421,GCM,MAM,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
422,GCM,IGDA,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
423,GCM,TGLDM,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
424,GCM,JFFP,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
425,GCM,CCDCS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
426,GCM,AMFDS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
427,GCM,EANDS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
428,SI,SSDS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
429,GCM,TDAF,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
430,GCM,GCDA,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
431,GCM,AMDS,COMPAZ MIGUEL ARRAES,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
432,GCM,ODSH,CEDIDO AO COMPAZ ARIANO SUASSUNA,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
433,GCM,CVMDC,CEDIDO AO COMPAZ ARIANO SUASSUNA,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
434,SI,RSDAF,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
435,GCM,APMDA,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
436,GCM,FMMDS,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
437,GCM,AFDLC,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
438,SI,MRP,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
439,GCM,CVDN,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
440,GCM,RGC,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
441,GCM,MDCFR,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
442,GCM,ARDL,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
443,GCM,ARDS,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
444,GCM,TAB,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
445,GCM,GDMB,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
446,SI,RADL,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
447,GCM,ICDSR,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
448,GCM,MADS,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
449,GCM,JMF,COMPAZ ARIANO SUASSUNA,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
450,INSP,JLF,CEDIDO AO COMPAZ EDUARDO CAMPOS,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
451,GCM,MADB,CEDIDO A SECRETARIA DE SEGURANÃ‡A CIDADÃƒ,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
452,GCM,FBADS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
453,GCM,VSDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
454,GCM,JSDO,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
455,GCM,WDOS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
456,GCM,ADPF,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
457,GCM,ACDSN,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 02,06,10,14,18,22,26,30)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
458,SI,EDMP,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
459,GCM,ZBDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
460,GCM,KFDDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
461,GCM,AADS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
462,GCM,HGADS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 04,08,12,16,20,24,28)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
463,SI,MACDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
464,GCM,JWDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
465,GCM,VMCDNJ,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
466,GCM,DBGDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
467,GCM,SDDP,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
468,GCM,RMCDPDR,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 03,07,11,15,19,23,27,31)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
469,SI,ACDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
470,GCM,JWDSS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
471,GCM,AGV,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
472,GCM,ABDS,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
473,GCM,SRDMP,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
474,GCM,DALR,COMPAZ EDUARDO CAMPOS,"07 Ã€S 07h (DIAS: 01,05,09,13,17,21,25,29)",PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
475,INSP,MDDS,CEDIDO AO COMPAZ DO IBURA,09 Ã€S 18h 2Âª/6Âª,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,08 Horas
476,INSP,JBNF,PROCON RECIFE,07 Ã€S 16h 2Âª/6Âª,PATRIMÃ”NIO,PROCURADORIA,08 Horas
477,VG,ECSB,CENTRO POP GLÃ“RIA - ANTIGO RODA VIVA,07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,DIREITOS HUMANOS,
478,SI,EMC,CRAS - CAMPINA DO BARRETO,07 Ã€S 16h 2Âª/6Âª.,PATRIMÃ”NIO,DIREITOS HUMANOS,
479,GCM,FRBV,RECENTRO (RUA O APOLO),07 Ã€S 16h 2Âª/6Âª..,PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,
480,SI,GMDS,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SAÃšDE,12x36
481,SI,PRDSF,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SAÃšDE,12x36
482,GCM,TJPDS,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"07 Ã€S 19h (DIAS: 03,04,08,09,12,13,14,17,18,22,23,26,27,28,31)",PATRIMÃ”NIO,SAÃšDE,
483,GCM,RBDSN,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"07 Ã€S 19h (DIAS: 03,04,08,09,12,13,14,17,18,22,23,26,27,28,31)",PATRIMÃ”NIO,SAÃšDE,
484,GCM,TRDAS,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"07 Ã€S 19h (DIAS: 01,02,05,06,07,10,11,15,16,19,20,21,24,25,29,30)",PATRIMÃ”NIO,SAÃšDE,
485,GCM,HCDS,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"07 Ã€S 19h (DIAS: 01,02,05,06,07,10,11,15,16,19,20,21,24,25,29,30)",PATRIMÃ”NIO,SAÃšDE,
486,SI,JCDL,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"19 Ã€S 07h (DIAS: 03,04,08,09,12,13,14,17,18,22,23,26,27,28,31)",PATRIMÃ”NIO,SAÃšDE,
487,GCM,HMEC,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"19 Ã€S 07h (DIAS: 03,04,08,09,12,13,14,17,18,22,23,26,27,28,31)",PATRIMÃ”NIO,SAÃšDE,
488,GCM,JIFDS,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"19 Ã€S 07h (DIAS: 03,04,08,09,12,13,14,17,18,22,23,26,27,28,31)",PATRIMÃ”NIO,SAÃšDE,
489,SI,EADS,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"19 Ã€S 07h (DIAS: 01,02,05,06,07,10,11,15,16,19,20,21,24,25,29,30)",PATRIMÃ”NIO,SAÃšDE,
490,GCM,MACDS,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"19 Ã€S 07h (DIAS: 01,02,05,06,07,10,11,15,16,19,20,21,24,25,29,30)",PATRIMÃ”NIO,SAÃšDE,
491,GCM,RCDL,C.V.A - CENTRO DE VIGILÃ‚NCIA ANIMAL,"19 Ã€S 07h (DIAS: 01,02,05,06,07,10,11,15,16,19,20,21,24,25,29,30)",PATRIMÃ”NIO,SAÃšDE,
492,SI,GLLDO,NASCEDOURO DE PEIXINHOS,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
493,INSP,WPDS,NASCEDOURO DE PEIXINHOS,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
494,SI,JJDS,NASCEDOURO DE PEIXINHOS,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
495,SI,MABDL,NASCEDOURO DE PEIXINHOS,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
496,SI,WVV,PRAÃ‡A II JARDIM BOA VIAGEM,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,TURISMO,12x36
497,GCM,TDCM,PRAÃ‡A II JARDIM BOA VIAGEM,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,TURISMO,12x36
498,GCM,MAADS,PRAÃ‡A II JARDIM BOA VIAGEM,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,TURISMO,12x36
499,GCM,PMDAT,PRAÃ‡A II JARDIM BOA VIAGEM,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,TURISMO,12x36
500,GCM,KNDO,PRAÃ‡A II JARDIM BOA VIAGEM,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,TURISMO,12x36
501,GCM,JJDS,PRAÃ‡A II JARDIM BOA VIAGEM,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,TURISMO,12x36
502,SI,JCODC,PRAÃ‡A II JARDIM BOA VIAGEM,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,TURISMO,12x36
503,INSP,PTRDS,PÃTIO DE SÃƒO PEDRO,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
504,SI,CMDL,PÃTIO DE SÃƒO PEDRO,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
505,SI,VDDS,PÃTIO DE SÃƒO PEDRO,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
506,GCM,IJADS,PÃTIO DE SÃƒO PEDRO,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
507,SI,NCDS,PÃTIO DE SÃƒO PEDRO,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
508,GCM,SRPV,PÃTIO DE SÃƒO PEDRO,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
509,GCM,RCDS,PÃTIO DE SÃƒO PEDRO,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
510,SI,JDDH,PÃTIO DE SÃƒO PEDRO,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
511,SI,JUSDN,PÃTIO DE SÃƒO PEDRO,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
512,GCM,VADS,PÃTIO DE SÃƒO PEDRO,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
513,GCM,BNDC,C.S.U BIDU KRAUSE,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
514,GCM,LJDS,C.S.U BIDU KRAUSE,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
515,INSP,ARA,C.S.U BIDU KRAUSE,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
516,GCM,EBB,C.S.U BIDU KRAUSE,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
517,GCM,BGXD,C.S.U BIDU KRAUSE,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
518,GCM,LLDM,C.S.U BIDU KRAUSE,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
519,INSP,EGDS,C.S.U BIDU KRAUSE,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
520,SI,FDAG,C.S.U BIDU KRAUSE,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
521,SI,JCDLF,"O RECOMEÃ‡O (RUA DR. MACHADO, 737, CAMPO GRANDE)",07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
522,GCM,NADS,"O RECOMEÃ‡O (RUA DR. MACHADO, 737, CAMPO GRANDE)",07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
523,SI,MGS,"O RECOMEÃ‡O (RUA DR. MACHADO, 737, CAMPO GRANDE)",19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
524,GCM,RBDS,"O RECOMEÃ‡O (RUA DR. MACHADO, 737, CAMPO GRANDE)",19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
525,GCM,JEPDS,CAPP,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
526,GCM,IBR,CAPP,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
527,INSP,MJDS,CAPP,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
528,GCM,MRSEL,CAPP,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
529,SI,NPDMF,CAPP,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
530,VG,ESDO,CAPP,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
531,SI,OXDF,CAPP,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
532,GCM,CCCS,CAPP,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,SECRETARIA DE TRABALHO,12x36
533,GCM,ALDSS,ALMOXARIFADO DA IMBIRIBEIRA,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,SAÃšDE,12x36
534,SI,JRDSF,ALMOXARIFADO DA IMBIRIBEIRA,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,SAÃšDE,12x36
535,GCM,GMDN,CAPS CELESTE AÃDA CHAVES,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
536,GCM,NCDOJ,CAPS CELESTE AÃDA CHAVES,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
537,GCM,MMDS,CAPS CELESTE AÃDA CHAVES,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
538,SI,MEDC,CAPS CELESTE AÃDA CHAVES,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,DIREITOS HUMANOS,12x36
539,GCM,EHBDS,BIBLIOTECA DE AFOGADOS,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
540,GCM,SMP,BIBLIOTECA DE AFOGADOS,07 Ã€S 19h DI(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
541,SI,Ã‰ADL,BIBLIOTECA DE AFOGADOS,19 Ã€S 07h DP(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
542,GCM,JLCDS,BIBLIOTECA DE AFOGADOS,19 Ã€S 07h DI(NOT),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
543,GCM,RJDS,BIBLIOTECA DE CASA AMARELA,07 Ã€S 19h DP(DIA),PATRIMÃ”NIO,SEGURANÃ‡A CIDADÃƒ,12x36
