ID,ANO,CÓDIGO ENTIDADE,NOME ENTIDADE,CÓDIGO ORGÃO REGIONAL,TP_SITUACAO_FUNCIONAMENTO,DT_ANO_LETIVO_INICIO,DT_ANO_LETIVO_TERMINO,CO_REGIAO,CO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA
45,2017,26147963,COLEGIO CORDEIRO DE DEUS,2.0,2,,,2,2605,26017,26,2611606,261160605,4
46,2017,26178990,EDUCANDARIO MARIA LUCIA,1.0,2,,,2,2605,26017,26,2611606,261160605,4
47,2017,26159392,CLUBE DE MAES DEUS E AMOR,2.0,2,,,2,2605,26017,26,2611606,261160605,4
48,2017,26176505,EDUCANDARIO LUZ DO MUNDO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
49,2017,26124289,COLEGIO CONTATO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
50,2017,26127164,COLEGIO E CURSO SANTA PAULA LTDA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
51,2017,26122367,SOCIEDADE DE ORIENTACAO PSICOPEDAGOGICA,1.0,1,2017-02-01T00:00:00,2017-12-21T00:00:00,2,2605,26017,26,2611606,261160605,4
52,2017,26118521,EDUCANDARIO STO TOMAS DE AQUINO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
53,2017,26120968,INSTITUTO SANTA MARIA MAZZARELLO,2.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
54,2017,26127539,ESCOLA PROFESSORA FONTAINHA DE ABREU,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
55,2017,26170736,CRECHE MUNICIPAL ESPERANCA,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
56,2017,26175355,ESCOLA MUNICIPAL PROFESSORA HELIA MARIA PEREIRA,1.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
57,2017,26143534,INSTITUTO EDUCACIONAL LIRA,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
58,2017,26156857,ESCOLA MUNDO DA CULTURA,2.0,1,2017-02-06T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
59,2017,26186276,EDUCANDARIO SAO LUIS,2.0,2,,,2,2605,26017,26,2611606,261160605,4
60,2017,26119889,COLEGIO JOAO PAULO,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
61,2017,26122987,ESCOLA CARMELA DUTRA,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
62,2017,26167026,ESCOLA DESPERTAR DO SABER,1.0,2,,,2,2605,26017,26,2611606,261160605,4
63,2017,26124599,ESCOLA ENEIDA RABELLO,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
64,2017,26124572,ESCOLA DELMIRO GOUVEIA,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
65,2017,26126869,ESCOLA MUNICIPAL BOA ESPERANCA,1.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
66,2017,26127334,ESCOLA DE REFERENCIA EM ENSINO MEDIO JORNALISTA TRAJANO CHACON,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
67,2017,26127636,ESCOLA EDUCADOR PAULO FREIRE,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
68,2017,26126770,ESCOLA MUNICIPAL JOSEFINA MARINHO,1.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
69,2017,26173271,ESCOLA DOS ANJOS,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
70,2017,26173328,EDUCANDARIO PROFESSORA EUSA CARPINTERO,2.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
71,2017,26127580,COLEGIO CONHECER,2.0,1,2017-02-01T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
72,2017,26134350,ESCOLA PADRE DONINO,1.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
73,2017,26124939,ESCOLA SARGENTO CAMARGO,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
74,2017,26132540,CENTRO EDUCACIONAL SHALON,2.0,1,2017-02-06T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
75,2017,26157985,ESCOLA TECNICA ESTADUAL DE CRIATIVIDADE MUSICAL,1.0,1,2017-02-02T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,2
76,2017,26153955,EDUCANDARIO RAPHAEL MILLER,2.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
77,2017,26482720,INSTITUTO INFANTIL LAPIS NA MAO,1.0,1,2017-02-02T00:00:00,2017-12-20T00:00:00,2,2605,26017,26,2611606,261160605,4
78,2017,26126621,ESCOLA ROTARY DE NOVA DESCOBERTA,1.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
79,2017,26128560,ESCOLA SAO FRANCISCO DE ASSIS - RN,1.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
80,2017,26126583,ESCOLA MUNICIPAL SANTA MARIA GORETTI,1.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
81,2017,26127520,ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO,2.0,1,2017-02-11T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
82,2017,26122332,INSTITUTO CAPIBARIBE,1.0,1,2017-02-01T00:00:00,2017-12-21T00:00:00,2,2605,26017,26,2611606,261160605,4
83,2017,26153319,CRECHE MUNICIPAL DEUS E AMOR-,2.0,1,2017-02-11T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
84,2017,26170795,ESCOLA MUNICIPAL POETA CARLOS PENA FILHO,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
85,2017,26122189,COLEGIO NOSSA SRA DE LOURDES,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
86,2017,26497719,CENTRO EDUCACIONAL DA IPUTINGA,2.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
87,2017,26119641,ESCOLA MUNICIPAL DOUTOR RODOLFO AURELIANO,2.0,1,2017-02-11T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
88,2017,26128837,INSTITUTO NOSSA SENHORA DE LOURDES,1.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
89,2017,26176564,ESCOLA PENA AZUL,2.0,1,2017-02-06T00:00:00,2017-12-27T00:00:00,2,2605,26017,26,2611606,261160605,4
90,2017,26120712,ESCOLA MUNICIPAL DO LEAO,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
91,2017,26124483,ESCOLA MUNICIPAL CAPELA SANTO ANTONIO,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
92,2017,26124513,ESCOLA MUNICIPAL CICERO FRANKLIN CORDEIRO,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
93,2017,26179989,ESCOLA INTERNACIONAL ABA,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
94,2017,26124033,INSTITUTO JOAO BATISTA,2.0,1,2017-03-31T00:00:00,2017-12-31T00:00:00,2,2605,26017,26,2611606,261160605,4
95,2017,26158370,ESCOLA MUNICIPAL PROFESSOR ORLANDO PARAHYM,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
96,2017,26184648,CRECHE ESC RECIFE DO IRAQUE,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
97,2017,26128039,COLEGIO SAO JORGE,1.0,1,2017-02-01T00:00:00,2017-12-30T00:00:00,2,2605,26017,26,2611606,261160605,4
98,2017,26144360,EDUCANDARIO SANTA ROSA,2.0,1,2017-02-01T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
99,2017,26182866,CENTRO DE ENSINO GRAU TECNICO BOA VISTA 2,1.0,2,,,2,2605,26017,26,2611606,261160605,4
100,2017,26152711,POLIEDRO COLEGIO E CURSO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
101,2017,26120992,ESCOLA LICEU DE ARTES E OFICIOS,1.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
102,2017,26427710,EDUCANDARIO PARAISO,2.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
103,2017,26495716,CENTRO EDUCACIONAL RAIZES,1.0,1,2017-02-01T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
104,2017,26133083,EDUCANDARIO ANA RAQUEL,2.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
105,2017,26117827,CENTRO EDUCACIONAL TIRADENTES,2.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
106,2017,26149249,G DE MAES DO CORREGO JARD PRIMAVERA,1.0,2,,,2,2605,26017,26,2611606,261160605,4
107,2017,26156741,INSTITUTO EDUCACIONAL NAARA FRANCA,1.0,1,2017-02-01T00:00:00,2017-12-30T00:00:00,2,2605,26017,26,2611606,261160605,4
108,2017,26166909,ESCOLA RECANTO FELIZ,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
109,2017,26128853,COLEGIO ADVENTISTA DO ARRUDA,1.0,1,2017-05-31T00:00:00,2017-12-24T00:00:00,2,2605,26017,26,2611606,261160605,4
110,2017,26173220,ESCOLA CHAVE DO SABER,2.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
111,2017,26176530,EDUCANDARIO NOVA GERACAO 2000,2.0,1,2017-02-01T00:00:00,2017-12-30T00:00:00,2,2605,26017,26,2611606,261160605,4
112,2017,26480727,ESCOLA CRIANCA ESPERANCA,1.0,2,,,2,2605,26017,26,2611606,261160605,4
113,2017,26124165,CMEI BERNARD VAN DER LEER,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
114,2017,26507730,ESCOLA INFANTIL CONVIVER,1.0,1,2017-02-01T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
115,2017,26125870,EDUCANDARIO ADRIANA CARVALHO,1.0,1,2017-02-01T00:00:00,2017-12-20T00:00:00,2,2605,26017,26,2611606,261160605,4
116,2017,26464730,ARTE VIDA ESCOLA CRISTA DE BOA VIAGEM,2.0,1,2017-02-01T00:00:00,2017-12-27T00:00:00,2,2605,26017,26,2611606,261160605,4
117,2017,26184141,CENTRO DE ESTUDOS DA SAUDE CESA,1.0,1,2017-01-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
118,2017,26123592,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR TRAJANO DE MENDONCA,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
119,2017,26125196,ESCOLA NOSSA SENHORA DO ROSARIO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
120,2017,26118386,EDUCANDARIO CORACAO DE JESUS MENINO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
121,2017,26160048,ESC COMUNITARIA CONS DOS MORAODRES B J SAO PAU,2.0,2,,,2,2605,26017,26,2611606,261160605,4
122,2017,26163586,ASS COM BENEF DE JOV E SRA DE MONS FABRICIO E ADJ,2.0,2,,,2,2605,26017,26,2611606,261160605,4
123,2017,26122804,EDUCANDARIO LIBERDADE,2.0,2,,,2,2605,26017,26,2611606,261160605,4
124,2017,26163136,CENTRO EDUCACIONAL MARIZ LTDA,1.0,2,,,2,2605,26017,26,2611606,261160605,4
125,2017,26136151,ESCOLA PASSO DO ELEFANTINHO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
126,2017,26121220,EDUCANDARIO TIA SUZANA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
127,2017,26161109,ASSOCIACAO INDEPENDENTE DOS AMIGOS DA UR 2,2.0,2,,,2,2605,26017,26,2611606,261160605,4
128,2017,26163438,CENTRO DE EDUCACAO POPULAR MAILDE ARAUJO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
129,2017,26123789,ESCOLA JARDIM FELIZ,2.0,2,,,2,2605,26017,26,2611606,261160605,4
130,2017,26167905,ESCOLA LUCIA CREUSA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
131,2017,26168910,EFORTE ESCOLA DE FORMACAO TECNICA E EMPRESARIAL,2.0,2,,,2,2605,26017,26,2611606,261160605,4
132,2017,26120127,ESCOLA RECANTO FELIZ,2.0,2,,,2,2605,26017,26,2611606,261160605,4
133,2017,26120143,ESCOLA ROMAO BATISTA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
134,2017,26157411,CLUBE DE MAES MORADORES SITIO DO ROSARIO,1.0,3,,,2,2605,26017,26,2611606,261160605,4
135,2017,26121190,COLEGIO E CURSO NOSSA SENHORA DO CARMO,2.0,1,2017-01-30T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
136,2017,26120500,EXTERNATO GENTE INOCENTE,2.0,2,,,2,2605,26017,26,2611606,261160605,4
137,2017,26145120,ESCOLA NOSSA SENHORA DA ROSA MYSTICA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
138,2017,26154188,ESCOLA TIO TATA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
139,2017,26118696,ESCOLA CORUJINHA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
140,2017,26154161,CONSELHO DE MORADORES DA ILHA DO JOANEIRO,1.0,3,,,2,2605,26017,26,2611606,261160605,4
141,2017,26168146,INSTITUTO EDUCACIONAL GILDETE CHAVES,2.0,2,,,2,2605,26017,26,2611606,261160605,4
142,2017,26176416,EDUCANDARIO CRIANCA ESPERANCA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
143,2017,26162920,ROMA FUTEBOL CLUBE,2.0,2,,,2,2605,26017,26,2611606,261160605,4
144,2017,26170566,ASSOC INDEPENDENTE ESPORTE CLUBE,1.0,3,,,2,2605,26017,26,2611606,261160605,4
145,2017,26166755,ESCOLA CRIATIVA DO RECIFE,1.0,2,,,2,2605,26017,26,2611606,261160605,4
146,2017,26170426,ESCOLA COMUNITARIA SAO JOAO BOSCO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
147,2017,26124297,COLEGIO DE APLICACAO DO CE DA UFPE,,1,2017-03-06T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,1
148,2017,26160170,ESCOLA COMUN CONS DE MULHERES DO PARQUE CORDEIRO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
149,2017,26152819,GRUPO EDUC DO RECIFE ANGLO LIDER,2.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
150,2017,26117878,CENTRO ESPECIALIZADO NEURO PSICOLOGICO - CENEUP,2.0,2,,,2,2605,26017,26,2611606,261160605,4
151,2017,26167883,ESCOLA MUNICIPAL DO IBURA,2.0,2,,,2,2605,26017,26,2611606,261160605,3
152,2017,26153971,UNEDIN - UNIDADE DE EDUCACAO INTEGRADA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
153,2017,26119730,ESCOLA DE APLICACAO DO RECIFE - FCAP UPE,2.0,1,2017-02-02T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,2
154,2017,26463741,ESCOLA CRIANCA FELIZ LTDA-ME,2.0,2,,,2,2605,26017,26,2611606,261160605,4
155,2017,26168006,ASSOC DOS MORADADORES DO SITIO DO BERARDO,2.0,2,,,2,2605,26017,26,2611606,261160605,4
156,2017,26143887,CONSTRUINDO O ABC CENTRO EDUCACIONAL,1.0,2,,,2,2605,26017,26,2611606,261160605,4
157,2017,26141000,ESCOLA ALEGRIA DO SABER,1.0,1,2017-02-06T00:00:00,2017-12-21T00:00:00,2,2605,26017,26,2611606,261160605,4
158,2017,26122421,CONSTRUINDO CENTRO DE EDUCACAO,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
159,2017,26122464,ESCOLA MUNICIPAL SERVICO SOCIAL DE BELEM,1.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
160,2017,26197600,ESCOLA NOSSA SENHORA DAS GRACAS,1.0,1,2017-02-01T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,4
161,2017,26152630,GGE VESTIBULARES,2.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
162,2017,26163853,CLUBE DE MAES NOSSA SENHORA APARECIDA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
163,2017,26117789,CENTRO DE TERAPIA OCUPACIONAL DO RECIFE,1.0,3,,,2,2605,26017,26,2611606,261160605,4
164,2017,26206200,CENTRO ESCOLA MANGUE,2.0,2,,,2,2605,26017,26,2611606,261160605,4
165,2017,26163217,CENTRO SOCIAL SANTA RITA ALTO DOIS CARNEIROS,2.0,2,,,2,2605,26017,26,2611606,261160605,4
166,2017,26137992,ESCOLA O PEQUENO APRENDIZ,2.0,1,2017-01-30T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
167,2017,26127105,COLEGIO GERACAO ATIVA,2.0,1,2017-01-24T00:00:00,2017-12-28T00:00:00,2,2605,26017,26,2611606,261160605,4
168,2017,26154137,ESCOLA MUNICIPAL PROFESSOR POTIGUAR MATOS,2.0,1,2017-02-03T00:00:00,2017-12-22T00:00:00,2,2605,26017,26,2611606,261160605,3
169,2017,26163977,ASSOC ATLETICA BRAGANTINO FUTEBOL CLUBE,1.0,3,,,2,2605,26017,26,2611606,261160605,4
170,2017,26156822,CENTRO DE ATEND A MENINOS E MENINAS CAMM,1.0,3,,,2,2605,26017,26,2611606,261160605,4
171,2017,26149273,CRECHE MINHA INFANCIA,1.0,3,,,2,2605,26017,26,2611606,261160605,4
172,2017,26149354,CRECHE LAR DO BEM-TE-VI,1.0,3,,,2,2605,26017,26,2611606,261160605,4
173,2017,26125617,COLEGIO DA SAGRADA FAMILIA DE CASA FORTE,1.0,1,2017-02-01T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
174,2017,26120429,CENTRO EDUCACIONAL JOAO BRITO,2.0,1,2017-01-02T00:00:00,2017-12-29T00:00:00,2,2605,26017,26,2611606,261160605,4
175,2017,26173352,ESCOLA TIA MARINA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
176,2017,26160145,CONSELHO SR JOVENS MORADORES DA VILA MILAGRES,2.0,2,,,2,2605,26017,26,2611606,261160605,4
177,2017,26171627,ESCOLA COMUNITARIA POVO DE DEUS,2.0,2,,,2,2605,26017,26,2611606,261160605,4
178,2017,26133725,COLEGIO CAPITAO MORONI LTDA,1.0,1,2017-02-02T00:00:00,2017-12-20T00:00:00,2,2605,26017,26,2611606,261160605,4
179,2017,26512718,ESCOLA ABC DA CRIANCA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
180,2017,26160161,CONSELHO DE MORADORES DO BAIRRO DO IPSEP,2.0,2,,,2,2605,26017,26,2611606,261160605,4
181,2017,26183633,CENTRO UNIVERSITARIO MAURICIO DE NASSAU - TRIANON - CAMPUS - RECIFE,1.0,2,,,2,2605,26017,26,2611606,261160605,4
182,2017,26152800,COLEGIO PREFERENCIAL,2.0,2,,,2,2605,26017,26,2611606,261160605,4
183,2017,26160137,CLUBE DE MAES SAO JUDAS TADEU,2.0,2,,,2,2605,26017,26,2611606,261160605,4
184,2017,26163837,ESCOLA TECNICA DE ENFERMAGEM IRMA DULCE,1.0,2,,,2,2605,26017,26,2611606,261160605,4
185,2017,26120437,ESCOLINHA DO ZE COLMEIA,2.0,2,,,2,2605,26017,26,2611606,261160605,4
186,2017,26153025,ESCOLA LISARB,2.0,2,,,2,2605,26017,26,2611606,261160605,4
187,2017,26124408,EDUCANDARIO O PEQUENO PESQUISADOR,2.0,2,,,2,2605,26017,26,2611606,261160605,4
