,inep_escola,nome_escola,latitude,longitude,cep,endereco,bairro,telefone,email
41,26128322,ESCOLA MUNICIPAL NOVO HORIZONTE,-800999,-34897533,52211540,ALTO DO GUILHERMINO,AGUA FRIA,32327907.0,
42,26128705,ESCOLA MUNICIPAL MONSENHOR VIANA,-8004573,-3489843,52130260,TAGUATINGA,BEBERIBE,32327824.0,
43,26126087,ESCOLA MUNICIPAL OCTAVIO MEIRA LINS,-8010185,-34916502,52081520,JOSE REBOUCAS,VASCO DA GAMA,32324141.0,
44,26119641,ESCOLA MUNICIPAL DOUTOR RODOLFO AURELIANO,-8042168,-34956248,50810220,JOSE AVELAR,VARZEA,32324713.0,EMRODOLFOAURELIANO@GMAIL.COM
45,26120771,ESCOLA MUNICIPAL PROFESSOR MOACIR DE ALBUQUERQUE,-8001652,-34925164,52191040,CORREGO DA AREIA,NOVA DESCOBERTA,32324135.0,
46,26126494,ESCOLA MUNICIPAL POETA JOAQUIM CARDOSO,-8001269,-34930844,52091220,CORREGO DA AREIA,MACAXEIRA,32324126.0,
47,26128233,ESCOLA MUNICIPAL DA MANGABEIRA,-8024153,-34900586,52110270,DO CINEMA,MANGABEIRA,32327806.0,ESCOLAMANGABEIRA@HOTMAIL.COM
48,26128764,ESCOLA MUNICIPAL ANA MAURICIA WANDERLEY,-8018013,-34896113,52111310,JOAO UZEDA LUNA,AGUA FRIA,32327858.0,
49,26128268,ESCOLA MUNICIPAL LUIZ LUA GONZAGA,-8019281,-34902364,52111622,AURILANDIA,BOMBA DO HEMETERIO,32327821.0,
50,26128748,ESCOLA MUNICIPAL SAO JOAO BATISTA,-8011848,-3490463,52130220,ANIBAL BENEVOLO,LINHA DO TIRO,32327833.0,EMSJB07@HOTMAIL.COM
51,26126389,ESCOLA MUNICIPAL DOUTOR CAETE,-8001501,-34927695,52190210,ALVARAES,NOVA DESCOBERTA,32324198.0,
52,26128314,ESCOLA MUNICIPAL NOVA AURORA,-8018061,-34902939,52111620,ANTONIO MEIRA,BOMBA DO HEMETERIO,32327867.0,
53,26126770,ESCOLA MUNICIPAL JOSEFINA MARINHO,-8016883,-34910105,52080040,CORREGO JOSE GRANDE,ALTO JOSE DO PINHO,32324128.0,
54,26128780,ESCOLA MUNICIPAL COMPOSITOR LEVINO FERREIRA,-8014245,-34909591,52080400,CORREGO JOSE GRANDE,ALTO JOSE DO PINHO,32324122.0,
55,26126281,ESCOLA MUNICIPAL MARGARIDA SIQUEIRA PESSOA,-8017891,-34910503,52080040,CORREGO JOSE GRANDE,CASA AMARELA,32324131.0,
56,26126869,ESCOLA MUNICIPAL BOA ESPERANCA,-8018719,-34919934,52280524,PEDRA BONITA,VASCO DA GAMA,32324115.0,
57,26120569,ESCOLA MUNICIPAL PROFESSORA MARIA DA PAZ BRANDAO ALVES,-8082387,-34961224,50920683,DA FELICIDADE,SANCHO,32322514.0,
58,26121468,ESCOLA MUNICIPAL PEDRO AUGUSTO,-8060806,-34890139,50070310,BARAO DE SAO BORJA,SOLEDADE,32325913.0,
59,26121050,ESCOLA MUNICIPAL PROFESSORA ELIZABETH SALES COUTINHO DE BARROS,-8067329,-34934053,50761100,PROFESSOR AVERTANO DA ROCHA,TORROES,32327503.0,
60,26127083,ESCOLA MUNICIPAL DOS TORROES,-8068012,-34934511,50761110,DOUTOR ANTONIO CORREIA DE OLIVEIRA,TORROES,32327322.0,
61,26134010,ESCOLA MUNICIPAL INES SOARES DE LIMA,-8120697,-34912512,51150380,14 DE NOVEMBRO,IMBIRIBEIRA,32323305.0,ANAPPARISIO@YAHOO.COM.BR
62,26125528,ESCOLA MUNICIPAL PAIS E FILHOS,-810377,-34917978,51180340,DANCING DAYS,IMBIRIBEIRA,32323310.0,
63,26145227,ESCOLA MUNICIPAL HISTORIADOR FLAVIO GUERRA,-7985365,-34929917,52390040,ALTO DA TELHA,PASSARINHO,32324108.0,
64,26120780,ESCOLA MUNICIPAL PADRE JOSE MATHIAS DELGADO,-8079101,-34940117,50910390,DOUTOR DEVALDO BORGES,JARDIM SAO PAULO,32322518.0,
65,26127873,ESCOLA MUNICIPAL HENFIL,-8045456,-34953598,50741180,SEIS DE MARCO,VARZEA,32324775.0,ESCOLA.HENFIL@HOTMAIL.COM
66,26119617,ESCOLA MUNICIPAL GENERAL SAN MARTIN,-806737,-34928036,50761000,GENERAL SAN MARTIN,JIQUIA,32327505.0,
67,26126818,ESCOLA MUNICIPAL DOM JOSE LAMARTINE SOARES,-8008286,-34919532,52081070,ALTO DO EUCALIPTO,BREJO DE BEBERIBE,32324105.0,
68,26133389,ESCOLA MUNICIPAL NADIR COLACO,-8017133,-34928976,52090270,IDA,MACAXEIRA,32324137.0,
69,26126672,ESCOLA MUNICIPAL MAURICIO DE NASSAU,-8022936,-34926009,52071250,DOUTOR EURICO CHAVES,CASA AMARELA,32324132.0,
70,26118955,ESCOLA MUNICIPAL JULIO VICENTE ALVES DE ARAUJO,-8019088,-34914862,52280255,DA CONCEICAO,MORRO DA CONCEICAO,32324129.0,NADILZA@GMAIL.COM
71,26123673,ESCOLA MUNICIPAL SANTO ANTONIO DO CACOTE,-8100221,-3492973,50870440,GUARACI,CACOTE,32322522.0,
72,26124114,ESCOLA MUNICIPAL LAGOA ENCANTADA,-8116957,-34952094,51280400,DOUTOR BENIGNO JORDAO DE VASCONCELOS,COHAB,32323112.0,
73,26123126,ESCOLA MUNICIPAL VILA SAO MIGUEL,-8084202,-34912708,50770790,RUBIACEA,AFOGADOS,32322217.0,EMVSM2007@YAHOO.COM.BR
74,26119145,ESCOLA MUNICIPAL DOS REMEDIOS,-8068651,-34909596,50830260,DO BONGI,PRADO,32322202.0,
75,26125811,ESCOLA MUNICIPAL VIRGEM PODEROSA,-8036128,-34908376,52060030,LEONARDO BEZERRA CAVALCANTE,JAQUEIRA,32324153.0,
76,26128659,ESCOLA MUNICIPAL ANTONIO LUIZ,-8017895,-34885166,52121080,SAO JOAO BATISTA,AGUA FRIA,32327813.0,EMANTONIOLUIZ@IG.COM.BR
77,26120585,ESCOLA MUNICIPAL PROFESSORA SONIA MARIA DE ARAUJO SOUZA,-8136956,-34942555,51260090,BODOCO,JORDAO,32323510.0,
78,26123495,ESCOLA MUNICIPAL DOUTOR ANTONIO CORREIA,-8090318,-34944229,50900490,TEOFILO OTONI,BARRO,32322508.0,EMDAC32@YAHOO.COM.BR
79,26120658,ESCOLA MUNICIPAL ALMIRANTE SOARES DUTRA,-8078937,-34895322,50090380,CAMUTANGA,CABANGA,32322200.0,EMASD2006@YAHOO.COM.BR
80,26118670,ESCOLA MUNICIPAL DOS COELHOS,-806875,-34890914,50070550,DOS COELHOS,COELHOS,32325904.0,
81,26122570,ESCOLA MUNICIPAL DOM HELDER CAMARA,-8041124,-34888207,52021050,MARQUES DO PARANA,ESPINHEIRO,32327708.0,
82,26122014,ESCOLA MUNICIPAL SEDE DA SABEDORIA,-8040176,-34876843,50110470,ARTEMIS,SANTO AMARO,32325920.0,SEDESABEDORIA@YAHOO.COM.BR
83,26136269,ESCOLA MUNICIPAL SITIO DO CEU,-8041318,-34880527,50110150,ANCHIETA,SANTO AMARO,32325921.0,SITIODOCEU@YAHOO.COM.BR
84,26122600,ESCOLA MUNICIPAL SANTA CECILIA,-8036896,-34880445,52031212,ALICE GOMES,CAMPO GRANDE,32327707.0,
85,26175380,ESCOLA MUNICIPAL PEDRO ALCANTARA,-8002328,-34937544,52091190,TRES MORROS,CORREGO DO JENIPAPO,32324186.0,
86,26119331,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA,-8073301,-34917941,50760001,CAPITAO ADOLFO TAQUIS,MUSTARDINHA,32322213.0,
87,26128950,ESCOLA MUNICIPAL IRMA TEREZINHA BATISTA - PROJ NOVO VIVER,-8015194,-34882088,52121030,IGUATU,CAMPINA DO BARRETO,32327820.0,
88,26120682,ESCOLA MUNICIPAL BALBINA MENELAU,-8083244,-34949618,50790070,JOAO DE ANDRADE,JARDIM SAO PAULO,32322504.0,
89,26134057,ESCOLA MUNICIPAL MANOEL ROLIM,-8087783,-34948331,50920120,PAJUSSARA,JARDIM SAO PAULO,32322516.0,
90,26123541,ESCOLA MUNICIPAL ANDRE DE MELO,-8083818,-3493089,50865100,MORAES E SILVA,ESTANCIA,32322506.0,
91,26120283,ESCOLA MUNICIPAL VILA OPERARIA DO RECIFE,-8124086,-3493642,51240490,EMILIO MONTEIRO DA FONSECA,IBURA,32323511.0,
92,26121980,ESCOLA MUNICIPAL GENERAL EMIDIO DANTAS BARRETO,-8050896,-34883381,50100200,DA SAUDADE,SANTO AMARO,32325900.0,EMG_EMIDIO_DANTAS@HOTMAIL.COM
93,26120712,ESCOLA MUNICIPAL DO LEAO,-8121502,-34898806,51021280,BRUNO VELOSO,BOA VIAGEM,32323048.0,ESCLIONS@YAHOO.COM.BR
94,26132249,ESCOLA MUNICIPAL PINTOR LULA CARDOSO AYRES,-813114,-3493806,51250350,ALVARO FERRAZ,JORDAO,32323504.0,
95,26124483,ESCOLA MUNICIPAL CAPELA SANTO ANTONIO,-8087139,-3490229,51150192,SAO MARCOS,IMBIRIBEIRA,32322208.0,
96,26125560,ESCOLA MUNICIPAL PROFESSOR JOSE LOURENCO DE LIMA,-8122167,-34941006,51240380,NOVA AMERICA,IBURA,32323311.0,
97,26134002,ESCOLA MUNICIPAL KARLA PATRICIA,-8108804,-34895822,51020170,PROFESSOR EDUARDO WANDERLEI FILHO,BOA VIAGEM,32323003.0,ESCOLAMKARLAPATRICIA@YAHOO.COM
98,26128110,ESCOLA MUNICIPAL ALDA ROMEU,-8013671,-34900947,52211250,CORREGO DO DEODATO,AGUA FRIA,32327801.0,EMALDAROMEU@YAHOO.COM.BR
99,26119994,ESCOLA MUNICIPAL NOVO PINA,-809154,-34888125,51011140,EURICO VITRUVIO,PINA,32323005.0,NOVOPINA@IG.COM.BR
100,26126370,ESCOLA MUNICIPAL ALTO DA GUABIRABA,-7991847,-34933311,52091000,PRESIDENTE COSTA E SILVA,BREJO DA GUABIRABA,32324167.0,
101,26120674,ESCOLA MUNICIPAL ENGENHEIRO UMBERTO GONDIM,-8084622,-34885065,51010680,DAS OFICINAS,PINA,32323010.0,
102,26125854,ESCOLA MUNICIPAL ALTO JARDIM PROGRESSO,-8004572,-34926033,52190510,ALTO JARDIM PROGRESSO,NOVA DESCOBERTA,32324378.0,
103,26119129,ESCOLA MUNICIPAL DOIS RIOS,-8126939,-34944662,51300260,IRMA MARIA EVANGELISTA,COHAB,32323104.0,
104,26126680,ESCOLA MUNICIPAL CORREGO DA AREIA,-8003102,-34932011,52091220,CORREGO DA AREIA,MACAXEIRA,32324123.0,
105,26125510,ESCOLA MUNICIPAL OSWALDO LIMA FILHO,-8098475,-34886554,51011050,ENGENHEIRO DOMINGOS FERREIRA,PINA,32323023.0,
106,26124661,ESCOLA MUNICIPAL PROFESSOR MANOEL TORRES,-8128549,-34911712,51030210,ELADIO RAMOS,BOA VIAGEM,32323505.0,
107,26126427,ESCOLA MUNICIPAL PASTOR PAULO LEIVAS MACALAO,-8012147,-34908841,52131410,ALTEROSA,LINHA DO TIRO,32324142.0,
108,26126524,ESCOLA MUNICIPAL PROFESSOR NILO PEREIRA,-8027192,-34925699,52070230,DO ARRAIAL,CASA AMARELA,32324139.0,ESCOLANILOPEREIRA@GMAIL.COM
109,26154846,ESCOLA MUNICIPAL 27 DE NOVEMBRO,-8090061,-34886935,51011100,12 DE JULHO,COHAB,32323100.0,
110,26177978,ESCOLA MUNICIPAL NOVA MORADA,-8025698,-34952448,50980965,ELIANE FRAGOSO DO NASCIMENTO,VARZEA,32324780.0,EM_NOVAMORADA@YAHOO.COM.BR
111,26117622,ESCOLA MUNICIPAL DA IPUTINGA - ANX II - ASS DE CEGOS APEC,-8048676,-34927215,50721170,CONSELHEIRO SILVEIRA DE SOUZA,IPUTINGA,33663111.0,
112,26120402,ESCOLA MUNICIPAL DO DOM,-8048003,-34958857,50741120,CORONEL PACHECO,VARZEA,32324737.0,
113,26124610,ESCOLA MUNICIPAL FUTURO FELIZ,-8125691,-34958329,51330200,IBIRAJUBA,COHAB,32323101.0,
114,26171716,ESCOLA MUNICIPAL ARTISTA PLASTICO CICERO DIAS,-8132579,-34949761,51320120,JOAO JOAQUIM DE MELO FILHO,COHAB,32323124.0,
115,26121662,ESCOLA MUNICIPAL PADRE ANTONIO HENRIQUE,-8061364,-34900044,52010066,VISCONDESSA DO LIVRAMENTO,DERBY,32325910.0,EM-PE-HENRIQUE@YAHOO.COM.BR
116,26124092,ESCOLA MUNICIPAL ABILIO GOMES,-8120379,-34907433,51021280,BRUNO VELOZO,BOA VIAGEM,32323000.0,
117,26125480,ESCOLA MUNICIPAL JARDIM MAURICEIA,-8089424,-34914857,51170010,NICOLAU COPERNICO,IMBIRIBEIRA,32322209.0,
118,26134049,ESCOLA MUNICIPAL NOSSA SENHORA DA PENHA,-8129825,-34904743,51021550,FRANCISCO DE BARROS BARRETO,BOA VIAGEM,32323507.0,
119,26121832,ESCOLA MUNICIPAL CRISTINA TAVARES,-8122629,-34955025,51340600,PANELAS,IBURA,32323109.0,EMCRISTINATAVARES@HOTMAIL.COM
120,26125544,ESCOLA MUNICIPAL POETA PAULO BANDEIRA DA CRUZ,-8121989,-34955565,51340600,PANELAS,COHAB,32323116.0,
121,26134397,ESCOLA MUNICIPAL ALDA ROMEU - ANX II - TIA REGINA,-8012636,-34902197,52211250,CORREGO DO DEODATO,AGUA FRIA,32327863.0,EMALDAROMEU@YAHOO.COM.BR
122,26128888,ESCOLA MUNICIPAL DEUS E AMOR,-8018191,-3489867,52111430,LADEIRA DE PEDRA,AGUA FRIA,32327807.0,ESCOLADEUSEAMOR@YAHOO.COM.BR
123,26124076,ESCOLA MUNICIPAL WALDEMAR VALENTE,-8076046,-34947479,50790310,GASTAO DE CARVALHO,JARDIM SAO PAULO,32322525.0,
124,26124467,ESCOLA MUNICIPAL BEATO EUGENIO MAZENOD,-8101563,-34913588,51180260,LUXEMBURGO,IMBIRIBEIRA,32323307.0,
125,26125579,ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS,-8145187,-34912965,51030640,COSMORAMA,BOA VIAGEM,32323508.0,
126,26136300,ESCOLA MUNICIPAL ALTO DO MARACANA,-8002451,-34909121,52150141,VILA FLOR,DOIS UNIDOS,32327802.0,ESCOLAMARACANA@YAHOO.COM.BR
127,26124815,ESCOLA MUNICIPAL PROFESSOR SIMOES BARBOSA,-8115109,-34939711,51230000,DOIS RIOS,IBURA,32323313.0,
128,26134379,ESCOLA MUNICIPAL SANTO AMARO,-8046448,-34877821,50100000,NORTE,SANTO AMARO,32325919.0,SANTOAMARO@HOTMAIL.COM
129,26127016,ESCOLA MUNICIPAL CASARAO DO BARBALHO,-8028861,-34934749,50690000,DO BARBALHO,IPUTINGA,32324700.0,
130,26133670,ESCOLA MUNICIPAL SANTO ANTONIO DO CACOTE - ANX I - EMLURB,-8090787,-34929503,50870800,RECIFE,AREIAS,32322522.0,
131,26171759,ESCOLA MUNICIPAL DA GUABIRABA - ANEXO II,-7993301,-34935166,52291140,CASSITERITA,BREJO DA GUABIRABA,32324323.0,
132,26133622,ESCOLA MUNICIPAL NOVA DESCOBERTA,-7987701,-34929793,52390000,JORNALISTA WALDETE AGRA,PASSARINHO,32324140.0,
133,26133837,ESCOLA MUNICIPAL CRISTIANO CORDEIRO,-8114975,-34953822,51340210,SANTOS,COHAB,32323107.0,
134,26139723,ESCOLA MUNICIPAL ALTO SANTA TEREZINHA,-8009863,-34902847,52130220,ANIBAL BENEVOLO,LINHA DO TIRO,32327808.0,
135,26136287,ESCOLA MUNICIPAL DA GUABIRABA - ANX I - ARITANA,-7968133,-34939637,52291690,ARITANA,GUABIRABA,33043089.0,EMDAGUABIRABA@GMAIL.COM
136,26139090,ESCOLA MUNICIPAL PROFESSOR FLORESTAN FERNANDES,-8115849,-34942495,51230050,RIO NOVO DO SUL,IBURA,32323303.0,
137,26132635,ESCOLA MUNICIPAL JORDAO BAIXO,-813088,-34938654,51250340,GOVERNADOR ROBERTO SILVEIRA,JORDAO,32323501.0,
138,26134067,ESCOLA MUNICIPAL SEVERINA BERNADETE TEIXEIRA,-8124733,-34956705,51330110,IBICARE,COHAB,32323121.0,
139,26132643,ESCOLA MUNICIPAL FERNANDO SANTA CRUZ,-8137171,-34943611,51260000,BOANERGES PEREIRA,JORDAO,32323593.0,
140,26149370,ESCOLA MUNICIPAL ALTO DO REFUGIO - IVAN NEVES,-7999948,-34925268,52191100,ALTO DO REFUGIO,BREJO DE BEBERIBE,32324265.0,ESCOLAREFUGIO@YAHOO.COM.BR
141,26136335,ESCOLA MUNICIPAL RENATO ACCIOLY CARNEIRO CAMPOS,-800443,-34925286,52191570,SANTA ROSA,BREJO DE BEBERIBE,32324145.0,RENATOACCIOLY@HOTMAIL.COM
142,26136299,ESCOLA MUNICIPAL PROFESSOR NILO PEREIRA - ANEXO I,-8027192,-34925699,52060430,SAMUEL DE FARIAS,SANTANA,33268102.0,
143,26132267,ESCOLA MUNICIPAL DEPUTADO FERNANDO SAMPAIO,-8010783,-3492519,52090240,RITA ANTONIO FELIX,NOVA DESCOBERTA,32324111.0,
144,26122898,ESCOLA MUNICIPAL DO COQUE,-8071536,-3490015,50090590,MIRANDOPOLIS,ILHA JOANA BEZERRA,32322280.0,ESCOLADOCOQUE@HOTMAIL.COM
145,26123622,ESCOLA MUNICIPAL LOJISTAS DO RECIFE,-8076597,-34965533,50791540,BR 232KM 07,CURADO,32322513.0,
146,26128926,ESCOLA MUNICIPAL ANITA PAES BARRETO,-8014851,-34887334,52221111,GERONCIO FALCAO,FUNDAO,32327814.0,ANITAPAESBARRETO@HOTMAIL.COM
147,26145219,ESCOLA MUNICIPAL DEPUTADO FERNANDO SAMPAIO - ANX I - ANTONIO FELIX,-8010783,-3492519,52090183,COLINA DOS ANDES,NOVA DESCOBERTA,32324104.0,
148,26136347,ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS - ANX I CDM,-8013805,-34920338,52081705,BENGALAS,VASCO DA GAMA,33043162.0,
149,26126583,ESCOLA MUNICIPAL SANTA MARIA GORETTI,-8011305,-3491834,52280640,SANTA MARIA GORETTI,VASCO DA GAMA,32324566.0,
150,26123100,ESCOLA MUNICIPAL SANTA EDWIGES,-8069962,-34907246,50750590,JURITI,AFOGADOS,32322216.0,
151,26122197,ESCOLA MUNICIPAL DA IPUTINGA - ANX I ASS CRISTA FEMININA,-8042754,-34909449,50710210,FLORIANO FRANCISCO DE OLIVEIRA,TORRE,32273036.0,
152,26138832,ESCOLA MUNICIPAL DOM JOSE LAMARTINE - ANX I - CENT VIV CRISTA,-8009326,-34919464,52081070,ALTO DO EUCALIPTO,BREJO DE BEBERIBE,32324105.0,
153,26121913,ESCOLA MUNICIPAL LUTADORES DO BEM,-8044047,-34877224,50110400,CORONEL VIRGILIO DE MEDEIROS,SANTO AMARO,32325907.0,
154,26122464,ESCOLA MUNICIPAL SERVICO SOCIAL DE BELEM,-8032487,-34894242,52041260,RODOLFO DE HOLANDA,ENCRUZILHADA,32327706.0,ESCOLASSB@HOTMAIL.COM
155,26126966,ESCOLA MUNICIPAL PEDRINHO,-8006893,-34923812,52090080,BARAO DE BOTOVI,NOVA DESCOBERTA,32324113.0,
156,26121972,ESCOLA MUNICIPAL CIDADAO HERBERT DE SOUZA,-8045694,-34887051,50100130,ARNOBIO MARQUES,SANTO AMARO,32325926.0,ESCOLAHERBERT@HOTMAIL.COM
157,26123649,ESCOLA MUNICIPAL PAROQUIAL PROFESSORA PRIMITIVA DE BARROS SILVA,-8083535,-34938097,50781590,ATOR ELPIDIO CAMARA,JARDIM SAO PAULO,32322519.0,ESCOLAPRIMITIVA@YAHOO.COM.BR
158,26123088,ESCOLA MUNICIPAL EDITE BRAGA,-8079112,-34905007,50770080,NICOLAU PEREIRA,AFOGADOS,32322205.0,EDITEBRAGA_PCR@YAHOO.COM.BR
159,26127644,ESCOLA MUNICIPAL DOUTOR EBENEZER GUEIROS,-8036877,-34932787,50731470,LAVRAS DO SUL,IPUTINGA,32324730.0,
160,26127784,ESCOLA MUNICIPAL JOAO PESSOA GUERRA,-8056135,-3495831,50741490,ISAAC BURIL,CURADO,32324706.0,
161,26148161,ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE,-8110299,-34923756,51350450,GENERAL BENTO DA GAMA,IPSEP,32323300.0,EMEPF@RECIFE.PE.GOV.BR
162,26158280,ESCOLA MUNICIPAL JARDIM UCHOA,-8100824,-34938114,50780270,JUPIATA,AREIAS,32322512.0,E.JARDIMUCHOA@HOTMAIL.COM
163,26122308,ESCOLA MUNICIPAL SEVERINA LIRA,-8031337,-34903334,52051090,JUNDIA,TAMARINEIRA,32324336.0,EMSEVERINALIRA@GMAIL.COM
164,26155869,ESCOLA MUNICIPAL ENGENHEIRO HENOCH COUTINHO DE MELO,-8084552,-3488509,51010680,DAS OFICINAS,PINA,32323045.0,HENOCHCOUTINHO@YAHOO.COM.BR
